name;description;instructions;ingredients;tags;preptime;cookingtime;servings;categories;creator;image
Grilled Cheese Sandwich;Grilled cheese with crispy bread and melted cheese;1. Prepare bread: Butter one side of each bread slice. Place a slice of cheese between the unbuttered sides of the bread. 2. Grill sandwich: In a skillet over medium heat, place the sandwich butter-side down. Grill until golden brown, about 2�3 minutes, then flip and cook the other side until the cheese is melted and bread is crispy. Serve hot.;2 slices bread, 1 tbsp butter, 2 slices cheese;American, comfort food, quick;5 min;5 min;1;Lunch/Dinner, Snacks;MealFinder;grilled-cheese-sandwich.jpg
Tomato Basil Soup;Creamy tomato soup with fresh basil;1. Prepare ingredients: Roughly chop tomatoes and garlic. 2. Cook tomatoes: In a pot, heat a tablespoon of oil over medium heat. Add garlic and cook until fragrant, then add tomatoes and basil leaves. 3. Simmer: Pour in enough water or broth to cover the tomatoes. Simmer for 15�20 minutes until tomatoes are soft. 4. Blend and season: Use an immersion blender to blend until smooth. Stir in cream and adjust seasoning. Serve warm;400 g tomatoes, 10 leaves basil, 100 ml cream, 2 cloves garlic;Soup, vegetarian, creamy;10 min;20 min;2;Lunch/Dinner, Sides;MealFinder;tomato-basil-soup.jpg
Shrimp Scampi;Shrimp in a garlic butter sauce over pasta;1. Prepare ingredients: Mince the garlic and pat shrimp dry. 2. Cook pasta: Boil pasta according to package instructions. Drain and set aside. 3. Saut� shrimp: In a large skillet, melt butter over medium heat. Add garlic and cook for 1�2 minutes until fragrant. Add shrimp and cook until pink and opaque, about 3�4 minutes. 4. Combine with pasta: Add cooked pasta to the skillet and toss to coat. Serve hot.;200 g shrimp, 3 cloves garlic, 50 g butter, 200 g pasta;Seafood, Italian, quick;10 min;15 min;2;Lunch/Dinner;MealFinder;shrimp-scampi.jpg
Stuffed Bell Peppers;Bell peppers stuffed with rice, beef, and cheese;1. Prepare peppers: Cut the tops off the bell peppers and remove seeds. 2. Cook beef: In a skillet, cook ground beef with chopped onion until browned. Stir in cooked rice and cheese. Season to taste. 3. Stuff peppers: Fill each bell pepper with the beef and rice mixture. 4. Bake: Place stuffed peppers in a baking dish and bake at 180�C (350�F) for 25�30 minutes or until peppers are tender. Serve hot.;4 whole bell peppers, 100 g rice, 200 g ground beef, 50 g cheese, 1 onion;Healthy, dinner, stuffed;15 min;30 min;4;Lunch/Dinner;MealFinder;stuffed-bell-peppers.jpg
Beef Stew;Slow-cooked beef stew with carrots and potatoes;1. Prepare ingredients: Cut beef into chunks, and chop carrots and potatoes. 2. Brown beef: In a large pot, heat oil over medium-high heat. Brown beef on all sides, then remove from pot. 3. Cook vegetables: Add carrots, potatoes, and chopped onion to the pot, cooking until slightly softened. 4. Simmer: Add beef back to the pot along with broth and thyme. Cover and simmer on low heat for 1.5�2 hours until meat and vegetables are tender. Season and serve.;500 g beef, 3 whole carrots, 2 whole potatoes, 500 ml broth, 1 tsp thyme;Comfort food, stew, hearty;20 min;120 min;3;Lunch/Dinner;MealFinder;beef-stew.jpg
Vegetable Lasagna;Layered lasagna with vegetables and ricotta;1. Prepare ingredients: Cook lasagna noodles according to package instructions. Chop spinach and mix with ricotta. 2. Layer lasagna: In a baking dish, spread marinara sauce. Add a layer of noodles, ricotta mixture, and vegetables. Repeat layers until ingredients are used up, finishing with a layer of sauce and cheese on top. 3. Bake: Bake in a preheated oven at 180�C (350�F) for 30�40 minutes or until bubbly and golden. Serve hot.;200 g lasagna noodles, 200 g ricotta, 100 g spinach, 200 ml marinara sauce;Vegetarian, pasta, layered;20 min;40 min;3;Lunch/Dinner;MealFinder;vegetable-lasagna.jpg
Chicken Alfredo;Creamy pasta with chicken and Alfredo sauce;1. Prepare chicken: Cut chicken into bite-sized pieces and season with salt and pepper. 2. Cook chicken: In a skillet over medium heat, cook chicken until browned and cooked through. 3. Cook pasta: Meanwhile, cook fettuccine according to package instructions. Drain and set aside. 4. Combine: Add Alfredo sauce to the skillet with the chicken. Stir in the cooked pasta until everything is coated. Serve hot.;"300 g chicken breast, 200 ml Alfredo sauce, 200 g fettuccine""";Italian, pasta, creamy;15 min;20 min;3;Lunch/Dinner;MealFinder;chicken-alfredo.jpg
Tuna Salad;Simple tuna salad with mayo and celery;1. Prepare ingredients: Drain tuna and chop celery into small pieces. 2. Mix: In a bowl, combine tuna, mayonnaise, and celery. Stir well to combine. 3. Season: Add salt and pepper to taste. Serve chilled or at room temperature;150 g tuna, 2 tbsp mayonnaise, 1 whole celery stalk;Healthy, easy, quick;5 min;0 min;1;Sides, Salad;MealFinder;tuna-salad.jpg
Eggplant Parmesan;Breaded eggplant with marinara sauce and mozzarella;1. Prepare eggplant: Slice eggplant into rounds. Season and dredge each slice in flour, dip in beaten eggs, then coat with breadcrumbs. 2. Fry eggplant: In a skillet, heat oil over medium heat. Fry eggplant slices until golden brown, about 2�3 minutes per side. 3. Layer and bake: In a baking dish, spread marinara sauce, add a layer of eggplant, and sprinkle with mozzarella and Parmesan. Repeat until all ingredients are used. 4. Bake: Bake at 180�C (350�F) for 20�25 minutes or until cheese is melted and bubbly. Serve hot.;1 whole eggplant, 200 ml marinara sauce, 150 g mozzarella, 30 g parmesan;Italian, vegetarian, classic;15 min;30 min;2;Lunch/Dinner;MealFinder;eggplant-parmesan.jpg
Chocolate Brownies;Rich and fudgy chocolate brownies;1. Prepare ingredients: Melt butter and chocolate together in a microwave or on the stove, stirring until smooth. Let it cool slightly. 2. Mix batter: In a bowl, whisk eggs and sugar until smooth. Stir in melted chocolate mixture, then fold in flour until just combined. 3. Bake: Pour batter into a greased baking pan and bake at 180�C (350�F) for 20�25 minutes, or until a toothpick comes out with moist crumbs. Let cool before slicing. Serve as is or with a scoop of ice cream;200 g chocolate, 100 g flour, 100 g butter, 100 g sugar, 2 whole eggs;Dessert, chocolate, sweet;10 min;25 min;1;Dessert, Sweets;MealFinder;chocolate-brownies.jpg
Beef and Mushroom Stroganoff;Creamy beef stroganoff with mushrooms and onions;1. Prepare beef: Cut beef into strips, season with salt and pepper. 2. Brown beef: In a skillet over medium heat, brown the beef strips, then remove and set aside. 3. Saut� vegetables: In the same skillet, add chopped onions and sliced mushrooms, cooking until soft. 4. Combine: Add the beef back to the skillet, stir in sour cream, mustard, and beef broth. Simmer until sauce thickens and is creamy. Serve over cooked egg noodles;400 g beef strips, 1 whole onion, 200 g mushrooms, 100 ml sour cream, 1 tbsp mustard, 200 ml beef broth;Beef, Lunch/Dinner, Comfort Food;10 min;20 min;4;Lunch/Dinner;MealFinder;beef-and-mushroom-stroganoff.jpg
Lemon Herb Chicken;Juicy chicken thighs roasted with lemon and herbs;1. Prepare marinade: In a bowl, mix lemon juice, minced garlic, rosemary, and olive oil. 2. Marinate chicken: Coat chicken thighs in the marinade and let sit for 5 minutes. 3. Roast: Place chicken in a baking dish and roast in a preheated oven at 200�C (400�F) for 30 minutes or until golden and cooked through. Serve hot.;4 whole chicken thighs, 2  whole lemons, 3 cloves garlic, 1 tbsp rosemary, 2 tbsp olive oil;Chicken, Roasted, Lunch/Dinner;5 min;30 min;4;Lunch/Dinner;MealFinder;lemon-herb-chicken.jpg
Pasta Primavera;Fresh pasta primavera with seasonal vegetables;1. Cook pasta: Boil pasta until al dente according to package instructions, then drain. 2. Saut� vegetables: In a skillet, saut� sliced bell pepper, zucchini, and carrot until tender. 3. Combine: Toss the pasta with vegetables, season with salt and pepper, and garnish with grated parmesan. Serve warm.;200 g pasta, 1 whole bell pepper, 1 whole zucchini, 1 whole carrot, 50 g parmesan;Pasta, Vegetarian, Lunch/Dinner;10 min;20 min;2;Lunch/Dinner;MealFinder;pasta-primavera.jpg
Sweet Potato Casserole;Sweet potato casserole with marshmallow topping;1. Prepare sweet potatoes: Peel and boil sweet potatoes until tender, then mash with butter, sugar, and cinnamon. 2. Add topping: Spread mashed sweet potatoes in a baking dish, top with marshmallows. 3. Bake: Bake at 180�C (350�F) for 15�20 minutes or until marshmallows are golden. Serve warm.;4 whole sweet potatoes, 50 g butter, 50 g sugar, 1 tsp cinnamon, 100 g marshmallows;Dessert, Sweet, Casserole;10 min;25 min;4;Dessert, Sweets;MealFinder;sweet-potato-casserole.jpg
Lentil Dahl;Creamy, spiced lentil dahl with coconut milk;1. Cook lentils: In a pot, boil lentils in water until soft. 2. Add spices: Stir in turmeric, cumin, and salt to taste. 3. Blend and finish: Add coconut milk and blend until creamy and smooth. Serve hot with rice or naan;200 g lentils, 1 can coconut milk, 1 tbsp turmeric, 1 tbsp cumin;Vegan, Lunch/Dinner, Spicy;10 min;30 min;2;Lunch/Dinner;MealFinder;lentil-dahl.jpg
Stuffed Zucchini Boats;Baked zucchini boats stuffed with a flavorful mixture;1. Prepare zucchinis: Cut zucchinis in half lengthwise and scoop out the center. 2. Make filling: In a skillet, cook ground meat with chopped onion and diced tomato until browned. 3. Stuff and bake: Fill each zucchini boat with the mixture, top with cheese, and bake at 180�C (350�F) for 15�20 minutes. Serve warm.;4 zucchinis, 200 g ground meat, 1 whole onion, 100 g cheese, 1 whole tomato;Vegetarian, Stuffed, Lunch/Dinner;10 min;20 min;4;Lunch/Dinner;MealFinder;stuffed-zucchini-boats.jpg
Chili Lime Shrimp Tacos;Spicy shrimp tacos with a zesty lime slaw;1. Season shrimp: Toss shrimp with chili powder and lime juice. 2. Cook shrimp: In a skillet, cook shrimp until pink, about 3�4 minutes. 3. Assemble tacos: Serve shrimp in tortillas with shredded cabbage slaw and slices of avocado. Serve immediately.;4 whole taco shells, 300 g shrimp, 1 tbsp chili powder, 1 whole lime, 1 half cabbage, 1  whole avocado;Seafood, Spicy, Tacos;10 min;10 min;4;Lunch/Dinner;MealFinder;chili-lime-shrimp-tacos.jpg
Roasted Red Pepper Hummus;Smooth and smoky hummus with roasted red pepper;1. Blend ingredients: In a food processor, blend chickpeas, tahini, lemon juice, garlic, and roasted red pepper until smooth. 2. Serve: Adjust seasoning if needed and serve with pita or fresh veggies;1 can chickpeas, 2 tbsp tahini, 1 whole lemon, 2 cloves garlic, 1 whole roasted red pepper;Appetizer, Vegan, Dips;10 min;10 min;1;Sides;MealFinder;roasted-red-pepper-hummus.jpg
Maple Glazed Carrots;Tender carrots glazed in maple syrup and herbs;1. Steam carrots: Steam carrots until slightly tender. 2. Glaze: Toss carrots with maple syrup and rosemary. 3. Bake: Place in a baking dish and bake at 180�C (350�F) for 15�20 minutes until caramelized. Serve as a side dish.;500 g carrots, 2 tbsp maple syrup, 1 tbsp rosemary;Side, Vegetarian, Glazed;10 min;20 min;4;Sides;MealFinder;maple-glazed-carrots.jpg
Basil Pesto Pasta;Simple pasta tossed in fresh basil pesto;1. Cook pasta: Boil pasta until al dente according to package instructions, then drain. 2. Combine: Toss the pasta with basil pesto and sprinkle with pine nuts. Serve warm.;200 g pasta, 100 g basil pesto, 20 g pine nuts;Pasta, Italian, Vegetarian;5 min;15 min;2;Lunch/Dinner;MealFinder;basil-pesto-pasta.jpg
Garlic Herb Roasted Potatoes;Golden potatoes roasted with garlic and herbs;1. Prepare potatoes: Slice potatoes into wedges. 2. Season: Toss with minced garlic, rosemary, olive oil, salt, and pepper. 3. Roast: Bake at 200�C (400�F) for 25�30 minutes or until crispy and golden brown. Serve hot.;500 g potatoes, 3 cloves garlic, 2 tbsp rosemary, 2 tbsp olive oil;Side, Vegan, Roasted;5 min;30 min;4;Sides;MealFinder;garlic-herb-roasted-potatoes.jpg
Beef Bulgogi;Savory Korean BBQ beef bulgogi;1. Marinate beef: In a bowl, combine soy sauce, minced garlic, and sugar. Add beef slices and let marinate for at least 10 minutes. 2. Cook: In a skillet over high heat, stir-fry the marinated beef until caramelized, about 5�7 minutes. Serve with rice.;400 g beef, 2 tbsp soy sauce, 2 cloves garlic, 1 tbsp sugar;Asian, Beef, BBQ;10 min;20 min;4;Lunch/Dinner;MealFinder;beef-bulgogi.jpg
Tofu Stir Fry;Colorful stir fry with tofu and vegetables;1. Prepare tofu: Marinate tofu in soy sauce. 2. Stir-fry: In a hot skillet, cook tofu until crispy, then add sliced bell pepper and zucchini, stir-frying until vegetables are tender. Serve hot.;200 g tofu, 1 whole bell pepper, 1 whole zucchini, 1 tbsp soy sauce;Vegan, Quick, Stir-Fry;10 min;15 min;2;Lunch/Dinner;MealFinder;tofu-stir-fry.jpg
Pumpkin Spice Pancakes;Fluffy pumpkin pancakes with warm spices;1. Prepare batter: In a bowl, mix flour, cinnamon, pumpkin spice, and pumpkin pur�e. 2. Cook pancakes: Heat a griddle over medium heat, pour batter to form pancakes, and cook until bubbles form. Flip and cook until golden. Serve with syrup.;200 g flour, 1 tsp cinnamon, 1 tsp pumpkin spice, 200 g pumpkin pur�e;Dessert, Breakfast, Sweet;10 min;5 min;5;Dessert, Breakfast;MealFinder;pumpkin-spice-pancakes.jpg
Chocolate Avocado Mousse;Rich chocolate mousse with avocado for creaminess;1. Blend ingredients: In a blender, combine avocado, cocoa powder, maple syrup, and vanilla extract. 2. Chill: Pour into serving cups and refrigerate for at least 30 minutes before serving;1 whole avocado, 2 tbsp cocoa powder, 1 tbsp maple syrup, 1 tsp vanilla extract;Dessert, Vegan, Chocolate;5 min;0 min;1;Dessert;MealFinder;chocolate-avocado-mousse.jpg
Butternut Squash Risotto;Creamy risotto with roasted butternut squash;1. Roast squash: Cube and roast butternut squash at 200�C (400�F) for 20 minutes. 2. Cook risotto: In a pot, cook risotto rice with broth, stirring until creamy. 3. Combine: Add roasted squash and grated Parmesan, stirring until well combined. Serve hot.;200 g risotto rice, 200 g butternut squash, 50 g parmesan, 500 ml broth;Italian, Vegetarian, Lunch/Dinner;10 min;30 min;2;Lunch/Dinner, Sides;MealFinder;butternut-squash-risotto.jpg
Shakshuka;Eggs poached in a spicy tomato sauce;1. Saut� onions and garlic: In a skillet, cook chopped onions and garlic until softened. 2. Add spices and tomatoes: Add diced bell pepper, tomatoes, and paprika. Simmer for 10 minutes. 3. Poach eggs: Make small wells in the sauce, crack eggs into them, and cover until eggs are set. Serve warm with crusty bread.;4 whole eggs, 1 can tomatoes, 1 whole onion, 1 whole bell pepper, 1 tbsp paprika;Breakfast, Spicy, Vegetarian;10 min;20 min;4;Lunch/Dinner;MealFinder;shakshuka.jpg
